id,period_start_year
3195,1700
3200,1500
3205,1500
3210,1500
3215,1500
3220,1500
3225,1500
3230,1500
3235,1500
3240,1500
3245,1600
3250,1500
3253,1500
3255,1500
3261,1500
3269,1500
3279,1500
3282,1500
3290,1600
3304,1600
3543,1500
3547,1500
3552,1600
3557,1600
3562,1600
3567,1600
3572,1600
3577,1500
3581,1600
3586,1600
3591,1600
3596,1600
3601,1600
3646,1600
3606,1600
3611,1600
3616,1700
3621,1600
3626,1600
3631,1600
4137,1700
4142,1700
4147,1700
4152,1700
4157,1700
4162,1600
4167,1700
4172,1700
4177,1700
4182,1700
4190,1600
4195,1700
4200,1600
4205,1600
4210,1800
4214,1800
4219,1800
4224,1800
4229,1900
4234,1700
6449,1800
6454,1800
6459,1800
6464,1800
6469,1800
6472,1800
6477,1800
6482,1800
6487,1900
6492,1800
6497,1900
6502,1800
6507,1800
6512,1800
6517,1800
6522,1800
6527,1800
6532,1800
6537,1800
6542,1800
11403,1900
11408,1900
11411,1900
11415,1900
11420,1700
11426,1700
11431,1900
11436,1700
11441,1700
11446,1900
11451,1800
11455,1700
11460,1900
11465,1900
11470,1800
11475,1900
11480,1900
11485,1900
11490,1900
11495,1900
