accurate,author_birth_year,gutenberg_id,id,period_start_year
False,1564,1134,3240,1700
False,1633,4117,3646,1500
False,1909,17695,11470,1500
False,1812,44995,6487,1500
False,1758,247,4152,1500
False,1904,18137,11475,1500
False,1961,14557,11455,1500
False,1814,4814,6532,1500
False,1804,20003,6469,1500
False,1775,121,4142,1500
False,1753,409,4157,1600
False,1819,1335,6507,1500
False,1904,18261,11480,1500
False,1799,1237,4210,1500
False,1812,24022,6522,1500
False,1910,1612,11411,1500
False,1694,3531,3606,1500
False,1707,1147,4200,1500
False,1561,3290,3304,1600
False,1812,33163,6459,1600
True,1564,1109,3215,1500
True,1564,1104,3210,1500
False,1971,17029,11465,1600
False,1558,1992,3290,1600
True,1641,3851,3621,1600
False,1904,18831,11495,1600
False,1917,7190,11431,1600
False,1915,18768,11490,1500
False,1564,100,3195,1600
False,1749,1287,4214,1600
True,1667,2643,3586,1600
False,1804,40654,6449,1600
True,1652,3856,3626,1600
False,1961,5887,11426,1700
False,1737,731,4172,1600
False,1564,1784,3279,1600
False,1758,662,4167,1800
False,1928,18492,11485,1800
False,1713,1079,4195,1600
False,1564,1124,3230,1800
False,1920,578,11408,1700
False,1814,23050,6527,1700
False,1818,39401,6454,1700
False,1631,2062,3577,1700
False,1564,1790,3282,1700
True,1814,4822,6497,1800
False,1814,3671,6464,1700
False,1632,990,3562,1700
False,1564,1518,3255,1700
True,1799,1369,4229,1700
False,1818,35443,6542,1600
False,1692,3150,3591,1800
False,1694,3357,3601,1700
False,1961,4663,11420,1700
False,1971,16721,11460,1800
False,1667,623,3552,1700
False,1783,41,4137,1800
False,1771,792,4182,1800
False,1564,1430,3245,1800
False,1961,8215,11436,1800
False,1694,2445,3581,1800
False,1608,1745,3572,1800
False,1667,1090,3567,1800
False,1799,1344,4224,1800
False,1613,3846,3616,1800
False,1564,1119,3225,1800
False,1564,1503,3250,1800
False,1799,1307,4219,1800
False,1772,151,4147,1900
False,1564,1533,3261,1800
False,1811,34922,6517,1900
False,1564,1513,3253,1800
False,1971,11077,11446,1600
False,1564,1548,3269,1800
True,1819,39723,6472,1800
False,1775,946,4190,1800
False,1961,8421,11441,1800
False,1675,3861,3631,1900
True,1819,44805,6502,1800
False,1564,1114,3220,1800
False,1608,397,3547,1900
False,1564,1129,3235,1900
False,1764,573,4162,1900
False,1564,811,3200,1900
False,1694,3352,3596,1700
False,1803,7711,6482,1700
False,1737,736,4177,1900
True,1771,1377,4234,1700
False,1564,1094,3205,1700
False,1799,1215,4205,1900
True,1809,2739,6492,1800
False,1907,11924,11451,1700
True,1954,101,11403,1900
False,1812,41894,6537,1900
True,1947,2538,11415,1900
False,1803,14475,6477,1900
False,1811,48314,6512,1900
False,1608,20,3543,1900
False,1632,3800,3611,1900
False,1632,920,3557,1900
