accurate,author_birth_year,gutenberg_id,id,period_start_year
False,1806,33468,6766,1700
False,1858,14356,8669,1500
False,1902,38703,12440,1500
False,1837,5487,8247,1500
False,1803,7714,6826,1500
False,1909,17695,11470,1500
False,1917,33198,12300,1500
False,1872,1261,9956,1500
False,1931,51822,12749,1500
False,1839,21636,8031,1500
False,1706,40236,6074,1800
False,1921,22102,11554,1500
False,1906,36867,12415,1500
False,1841,39780,8604,1500
False,1867,46660,10386,1500
False,1846,31769,9037,1500
False,1880,26320,11024,1500
False,1789,49500,6381,1500
False,1830,21128,7756,1700
True,1893,42533,10476,1800
False,1857,40353,8958,1600
False,1794,52119,6415,1500
False,1865,38233,9897,1500
False,1749,25698,5547,1600
True,1797,8743,4863,1700
False,1905,40725,12470,1700
True,1802,6757,6552,1800
False,1717,17411,5303,1800
False,1924,32836,12280,1500
False,1655,4977,3746,1800
True,1880,30688,11373,1800
False,1961,30152,11929,1800
True,1857,24540,8445,1800
False,1812,16162,7332,1700
False,1785,18862,5352,1800
True,1811,2646,6856,1800
True,1884,36193,10565,1800
False,1801,49468,7441,1500
False,1787,45496,6291,1800
False,1801,44144,6796,1500
False,1906,51009,12625,1500
True,1806,16906,6871,1800
False,1835,44262,7579,1500
False,1928,31976,12110,1500
False,1882,18950,11142,1700
False,1869,27713,9773,1700
True,1888,42888,10945,1800
False,1835,93,8129,1700
False,1865,23946,9543,1700
False,1815,42322,7387,1500
False,1927,23563,11629,1800
False,1867,11701,9538,1700
False,1840,40083,9354,1700
False,1840,34753,9285,1500
False,1831,5109,8322,1700
True,1833,38106,8070,1800
False,1933,51623,12719,1500
False,1767,8826,4868,1800
True,1828,986,7786,1800
True,1815,26618,7422,1800
False,1774,17124,5298,1600
False,1807,9600,7035,1500
True,1867,19676,9587,1800
False,1933,30029,11919,1500
True,1869,7794,10135,1800
False,1909,22263,11559,1800
False,1811,48376,7228,1500
False,1871,6864,9690,1700
False,1778,17882,5318,1800
False,1880,18129,10925,1700
False,1922,51867,12759,1600
False,1961,14557,11455,1800
False,1900,41715,12500,1600
False,1847,22794,9270,1600
False,1865,38684,10016,1500
True,1755,31934,5748,1700
False,1847,30899,8738,1600
False,1879,14039,9650,1700
False,1882,2892,10690,1600
False,1828,42870,7996,1600
False,1790,8114,4828,1800
False,1882,6417,11393,1600
True,1798,5647,4625,1700
False,1837,3380,7796,1700
False,1830,25000,8085,1700
False,1900,32029,12120,1700
False,1564,10606,3399,1700
False,1906,32759,12265,1600
True,1764,31374,5720,1700
True,1880,23730,10704,1800
False,1910,29662,11881,1600
False,1860,20247,10090,1600
False,1759,25733,5552,1600
False,1814,40940,7392,1600
False,1737,3741,4476,1600
False,1824,1627,8006,1600
False,1800,45385,7099,1600
False,1794,16017,5243,1600
False,1915,50736,12590,1600
False,1866,19328,10229,1600
False,1854,16455,8654,1600
False,1915,18768,11490,1600
False,1775,7768,4778,1600
False,1795,2114,4353,1600
False,1837,31273,7697,1600
False,1792,23138,5493,1600
False,1831,4739,8217,1700
False,1876,33806,9792,1700
False,1564,1124,3230,1800
True,1877,34307,9558,1800
False,1859,50531,8544,1600
False,1855,42995,8534,1600
False,1774,18136,5328,1600
False,1915,32676,12240,1600
False,1905,36021,12405,1600
False,1836,10165,7761,1700
False,1763,36164,5862,1800
False,1922,32361,12180,1700
False,1933,28515,11796,1800
True,1679,37218,4042,1600
False,1760,15304,5193,1600
False,1876,19475,9548,1600
True,1828,25701,8041,1800
False,1861,21660,10031,1700
False,1894,18079,10817,1600
False,1915,50969,12620,1800
False,1909,30199,11934,1600
False,1918,31262,12038,1600
True,1642,15784,3909,1600
False,1930,36285,12410,1700
False,1864,41090,10248,1700
False,1907,32563,12210,1700
True,1773,47485,6341,1700
False,1844,3229,9260,1700
False,1824,18614,8080,1700
False,1929,32350,12175,1600
False,1789,36631,5902,1600
False,1799,1475,4263,1600
True,1792,21574,5441,1700
False,1755,12325,5064,1600
False,1831,21495,7911,1700
False,1874,16647,10356,1700
False,1931,37740,12425,1700
True,1737,6031,4644,1700
True,1873,15069,9931,1800
True,1886,41944,10436,1800
False,1852,3965,8883,1700
True,1864,31691,10200,1800
False,1916,30002,11914,1700
True,1786,18985,5357,1700
True,1812,41894,6537,1800
False,1860,1883,9592,1600
False,1749,1287,4214,1600
False,1932,43048,12525,1800
False,1633,4197,3726,1800
False,1930,19726,11519,1700
False,1553,7566,3389,1800
False,1928,28554,11801,1600
False,1862,9629,10145,1700
True,1840,9386,8614,1800
False,1709,11254,5020,1800
False,1875,21865,9971,1700
False,1865,33505,9720,1700
True,1858,18787,8504,1800
False,1893,50682,10812,1700
True,1779,16549,5268,1700
False,1917,31008,12013,1800
False,1892,28418,10930,1600
False,1796,4912,4575,1800
False,1861,40591,9513,1700
False,1858,36585,9003,1600
True,1667,14353,3889,1600
False,1930,29272,11846,1800
False,1882,53260,11187,1700
False,1779,11059,5005,1800
False,1876,44225,9705,1700
True,1839,20963,7607,1800
False,1894,42531,11232,1700
False,1789,13824,5138,1600
False,1852,53040,8689,1700
False,1922,29789,11890,1700
False,1872,46662,9837,1600
False,1787,22836,5478,1800
False,1579,14549,3419,1700
False,1896,18361,11197,1700
True,1746,43858,6226,1700
True,1837,5461,7597,1800
False,1927,24005,11654,1700
True,1859,19742,8933,1800
False,1866,9872,9783,1700
False,1866,20510,10283,1700
False,1923,29908,11899,1700
False,1894,38489,10895,1700
True,1772,29091,5646,1700
True,1724,52821,6434,1700
False,1883,19706,10471,1700
True,1725,2976,4422,1700
False,1579,35303,3488,1700
False,1845,6301,8993,1700
True,1881,34478,10709,1800
False,1728,24591,5527,1800
True,1848,48635,8549,1800
False,1902,31109,12023,1800
True,1859,355,8853,1800
True,1831,37842,7886,1800
False,1910,27462,11762,1700
False,1799,1555,4268,1800
True,1857,1463,8529,1800
True,1802,2745,7020,1800
True,1779,35409,5833,1700
False,1798,7917,4808,1800
True,1868,24854,10105,1800
True,1882,2989,10441,1800
False,1884,30836,10955,1700
False,1913,34412,12360,1800
False,1766,4335,4550,1800
True,1844,7300,8873,1800
True,1865,47429,9847,1800
True,1875,15384,10086,1800
False,1795,13534,5129,1800
True,1809,35839,6966,1800
True,1837,39212,8351,1800
False,1919,32473,12200,1800
True,1884,16093,11251,1800
False,1743,16782,5283,1800
False,1916,42654,12520,1700
False,1809,35133,6971,1700
False,1641,3851,3621,1800
False,1835,52444,7991,1700
False,1841,38957,9320,1700
False,1844,36794,8524,1700
False,1874,46950,10346,1700
False,1633,4157,3686,1700
False,1924,23159,11614,1800
True,1795,2104,4343,1700
True,1787,19879,5382,1700
True,1771,6661,4684,1700
False,1933,30474,11969,1700
True,1758,662,4167,1700
False,1828,4410,8326,1700
False,1846,32703,8609,1700
False,1683,15329,3899,1700
False,1821,24963,7881,1700
True,1866,14060,9670,1800
False,1842,23063,8634,1700
True,1803,9768,7138,1800
True,1834,49827,7584,1800
False,1808,50864,6846,1700
False,1689,12958,3874,1700
False,1876,37824,9685,1700
False,1912,28111,11781,1800
True,1842,52480,9052,1800
False,1892,33231,10793,1700
True,1771,792,4182,1700
True,1892,109,11167,1800
False,1822,45118,8021,1700
False,1823,5843,8179,1700
True,1752,3888,4495,1700
False,1896,35425,10625,1700
False,1854,36189,9413,1700
False,1885,23727,10416,1700
True,1824,40841,8011,1800
False,1564,811,3200,1700
True,1859,31097,9042,1800
True,1884,40344,11059,1800
False,1633,4167,3696,1700
False,1828,4443,8188,1700
False,1825,47086,8154,1700
False,1869,12989,9700,1700
False,1533,3600,3324,1700
False,1927,24166,11663,1700
False,1632,920,3557,1700
False,1875,14392,10051,1700
False,1796,4928,4580,1800
False,1814,23050,6527,1700
True,1729,5182,4600,1700
False,1852,33769,9142,1700
False,1799,1437,4253,1800
False,1885,7940,10960,1700
False,1924,32238,12160,1700
False,1850,381,8469,1700
False,1910,51493,12699,1700
False,1842,35710,8808,1700
False,1906,32864,12285,1700
False,1769,40180,6069,1800
False,1915,32076,12130,1700
False,1707,6828,4728,1800
False,1971,17029,11465,1700
True,1761,32192,5753,1700
True,1798,7912,4803,1700
False,1867,5066,10165,1700
False,1835,43170,7569,1700
True,1771,8225,4838,1700
False,1817,10420,6821,1700
False,1882,3073,11344,1700
False,1866,16431,9902,1700
False,1800,51187,6761,1700
True,1883,38177,11162,1800
True,1766,37571,5940,1700
True,1712,3907,4505,1700
False,1904,28215,11786,1700
False,1831,34140,7871,1700
False,1547,5929,3364,1800
False,1891,15120,11152,1700
False,1814,4845,7065,1700
False,1811,22661,6976,1700
False,1688,32841,4013,1700
True,1743,30775,5700,1700
False,1879,6973,10406,1700
False,1881,50464,10525,1700
False,1742,22490,5468,1800
False,1842,43835,9152,1700
True,1725,2966,4412,1700
True,1823,47908,7711,1800
False,1912,23624,11634,1700
False,1917,31716,12090,1800
True,1843,32888,8714,1800
False,1831,33195,7741,1700
False,1887,15779,10481,1700
False,1813,49352,7114,1700
False,1859,26768,9418,1700
False,1917,24975,11703,1700
False,1564,1104,3210,1700
True,1771,48838,6366,1700
False,1632,990,3562,1700
False,1920,31547,12061,1800
False,1928,29445,11856,1800
False,1882,52974,10763,1700
True,1759,28969,5641,1700
True,1799,1683,4283,1700
False,1584,12221,3409,1700
True,1873,38608,9921,1800
False,1797,35870,5848,1800
False,1564,45128,3513,1700
False,1861,35068,9498,1700
True,1725,2956,4402,1700
False,1891,11718,11083,1700
False,1547,5904,3339,1800
False,1830,33583,8297,1700
True,1771,5353,4615,1700
False,1931,51726,12734,1800
False,1633,4192,3721,1700
False,1912,35043,12390,1700
False,1803,1936,6592,1700
True,1745,15031,5178,1700
True,1788,40021,6059,1700
False,1851,51702,8928,1700
True,1863,9808,9912,1800
False,1781,30323,5685,1800
False,1928,28644,11806,1700
True,1794,18290,5333,1700
False,1812,725,7287,1700
False,1680,6035,3781,1700
True,1813,36081,7133,1800
False,1853,13111,8709,1700
False,1633,4172,3701,1700
True,1884,25037,10699,1800
False,1921,31767,12095,1700
True,1799,1941,4318,1700
False,1805,26491,6771,1700
True,1783,7002,4743,1700
False,1847,42455,9157,1700
False,1803,29107,7263,1700
False,1803,14475,6477,1700
True,1854,37795,8783,1800
False,1863,9298,10001,1700
True,1885,41652,11182,1800
False,1862,22749,9797,1700
False,1832,19033,7516,1700
False,1838,6028,8341,1700
True,1786,37925,5950,1700
False,1824,5975,7682,1700
False,1911,24395,11683,1800
True,1703,49180,6376,1700
True,1788,11585,5034,1700
True,1780,39710,6039,1700
False,1867,19487,9951,1700
True,1799,46009,6311,1700
True,1751,33344,5773,1700
True,1862,39081,10396,1800
False,1954,101,11403,1700
False,1832,20091,7486,1700
True,1882,2814,10605,1800
True,1740,10451,4961,1700
False,1832,52616,7652,1700
False,1885,51633,10846,1700
True,1869,26678,10061,1800
False,1870,9605,9617,1700
False,1564,22791,3449,1800
False,1870,5980,10341,1700
False,1806,30107,7352,1700
True,1784,26170,5567,1700
False,1674,37543,4047,1700
True,1787,4048,4530,1700
False,1816,12362,6936,1700
False,1846,23135,9018,1700
False,1832,27567,8001,1700
False,1927,24521,11688,1800
True,1799,1899,4308,1700
False,1840,2996,8793,1700
False,1812,916,7085,1700
False,1906,50885,12610,1700
False,1857,43317,9225,1700
False,1813,11030,7327,1700
False,1925,27932,11772,1800
False,1839,31019,7811,1700
False,1802,1184,7015,1700
False,1872,50171,9577,1700
False,1917,26741,11737,1800
False,1836,1758,7456,1700
False,1819,20762,6716,1700
False,1864,46963,10233,1700
False,1883,39364,10881,1700
True,1826,27101,8124,1800
False,1818,45403,7431,1700
False,1884,33086,10861,1700
